Running on GPU
LSTM(
  (lstm): LSTM(7, 100, batch_first=True)
Epoch: 519, train loss: 17.63543, test loss: 69.46772
Epoch: 524, train loss: 17.55680, test loss: 69.74560
Epoch: 529, train loss: 17.69301, test loss: 68.11724
Epoch: 534, train loss: 18.10295, test loss: 67.30390
Epoch: 539, train loss: 17.80805, test loss: 66.87724
Epoch: 544, train loss: 17.63763, test loss: 67.30222
Epoch: 549, train loss: 17.50399, test loss: 67.71124
End of 549, train data mae 2.1924703121185303,  rmse 4.175730228424072, mape 647892528267264.0
Epoch: 554, train loss: 17.46880, test loss: 67.62141
Epoch: 559, train loss: 17.33605, test loss: 67.27615
Epoch: 564, train loss: 17.26080, test loss: 67.94949
Epoch: 569, train loss: 17.25429, test loss: 68.38054
Epoch: 574, train loss: 17.22472, test loss: 67.62975
Epoch: 579, train loss: 17.20105, test loss: 68.22201
Epoch: 584, train loss: 17.20365, test loss: 66.98187
Epoch: 589, train loss: 17.25998, test loss: 68.59904
Epoch: 594, train loss: 17.15702, test loss: 67.60552
Epoch: 599, train loss: 17.13489, test loss: 68.32779
End of 599, train data mae 2.1508681774139404,  rmse 4.135643482208252, mape 766789638160384.0
Epoch: 604, train loss: 17.03773, test loss: 66.99171
Epoch: 609, train loss: 17.01600, test loss: 68.59696
Epoch: 614, train loss: 17.36145, test loss: 65.73456
Epoch: 619, train loss: 16.93031, test loss: 66.65164
Epoch: 624, train loss: 16.96004, test loss: 67.17645
Epoch: 629, train loss: 17.07289, test loss: 68.46489
Epoch: 634, train loss: 16.98391, test loss: 68.63143
Epoch: 639, train loss: 16.82024, test loss: 68.04987
Epoch: 644, train loss: 16.85381, test loss: 66.80109
Epoch: 649, train loss: 16.83835, test loss: 66.56612
End of 649, train data mae 2.168794631958008,  rmse 4.128556251525879, mape 632405077524480.0
Epoch: 654, train loss: 16.98046, test loss: 65.78091
Epoch: 659, train loss: 17.09664, test loss: 65.65211
Epoch: 664, train loss: 17.04835, test loss: 66.14645
Epoch: 669, train loss: 16.81909, test loss: 67.39486
Epoch: 674, train loss: 16.69378, test loss: 67.71366
Epoch: 679, train loss: 16.65185, test loss: 67.98390
Epoch: 684, train loss: 16.62046, test loss: 68.06853
Epoch: 689, train loss: 16.59967, test loss: 67.68044
Epoch: 694, train loss: 16.57974, test loss: 67.06344
Epoch: 699, train loss: 16.57171, test loss: 66.71358
End of 699, train data mae 2.1078243255615234,  rmse 4.068802833557129, mape 663260391014400.0
Epoch: 704, train loss: 16.54129, test loss: 66.68544
Epoch: 709, train loss: 16.50614, test loss: 67.44212
Epoch: 714, train loss: 16.48276, test loss: 66.83858
Epoch: 719, train loss: 16.46649, test loss: 66.28967
Epoch: 724, train loss: 16.45227, test loss: 67.11645
Epoch: 729, train loss: 16.44861, test loss: 65.92034
Epoch: 734, train loss: 16.55496, test loss: 67.74687
Epoch: 739, train loss: 16.57107, test loss: 65.78226
Epoch: 744, train loss: 16.52974, test loss: 64.99264
Epoch: 749, train loss: 16.39398, test loss: 66.31567
End of 749, train data mae 2.0640666484832764,  rmse 4.042120456695557, mape 599024390373376.0
Epoch: 754, train loss: 16.47713, test loss: 67.22203
Epoch: 759, train loss: 16.30291, test loss: 66.58550
Epoch: 764, train loss: 16.36576, test loss: 65.43713
Epoch: 769, train loss: 16.30445, test loss: 68.51292
Epoch: 774, train loss: 16.22923, test loss: 67.61722
Epoch: 779, train loss: 16.21076, test loss: 68.21796
Epoch: 784, train loss: 16.29008, test loss: 69.49509
Epoch: 789, train loss: 17.26860, test loss: 65.98463
Epoch: 794, train loss: 16.52888, test loss: 68.69546
Epoch: 799, train loss: 16.18009, test loss: 68.84221
End of 799, train data mae 2.0605430603027344,  rmse 4.037395477294922, mape 573690324451328.0
Epoch: 804, train loss: 16.17826, test loss: 68.27264
Epoch: 809, train loss: 16.13126, test loss: 68.79233
Epoch: 814, train loss: 16.10614, test loss: 68.84707
Epoch: 819, train loss: 16.12444, test loss: 67.93667
Epoch: 824, train loss: 16.07228, test loss: 68.00349
Epoch: 829, train loss: 16.04613, test loss: 68.17926
Epoch: 834, train loss: 16.01100, test loss: 67.71796
Epoch: 839, train loss: 15.98145, test loss: 67.78935
Epoch: 844, train loss: 15.98314, test loss: 68.02877
Epoch: 849, train loss: 16.32830, test loss: 65.54469
End of 849, train data mae 2.1392710208892822,  rmse 4.068654537200928, mape 607247776350208.0
Epoch: 854, train loss: 16.16295, test loss: 67.03494
Epoch: 859, train loss: 16.14535, test loss: 64.37316
Epoch: 864, train loss: 16.33094, test loss: 65.89342
Epoch: 869, train loss: 16.27021, test loss: 66.19212
Epoch: 874, train loss: 16.07660, test loss: 67.11810
Epoch: 879, train loss: 15.93319, test loss: 67.07119
Epoch: 884, train loss: 15.88234, test loss: 67.25858
Epoch: 889, train loss: 15.83913, test loss: 66.95470
Epoch: 894, train loss: 15.81981, test loss: 66.96380
Epoch: 899, train loss: 15.80286, test loss: 66.58060
End of 899, train data mae 2.02398419380188,  rmse 3.974088191986084, mape 557662110482432.0
Epoch: 904, train loss: 15.78656, test loss: 66.28210
Epoch: 909, train loss: 15.77127, test loss: 66.83604
Epoch: 914, train loss: 15.74250, test loss: 66.23332
Epoch: 919, train loss: 15.72456, test loss: 66.49010
Epoch: 924, train loss: 15.79830, test loss: 65.14725
Epoch: 929, train loss: 15.98536, test loss: 66.88795
Epoch: 934, train loss: 16.00174, test loss: 66.98772
Epoch: 939, train loss: 15.78829, test loss: 67.36195
Epoch: 944, train loss: 15.78001, test loss: 65.96024
Epoch: 949, train loss: 15.71520, test loss: 65.94863
End of 949, train data mae 2.014085292816162,  rmse 3.96274733543396, mape 573002861248512.0
Epoch: 954, train loss: 15.69135, test loss: 65.51957
Epoch: 959, train loss: 15.71460, test loss: 66.74639
Epoch: 964, train loss: 15.61424, test loss: 65.72855
Epoch: 969, train loss: 15.62739, test loss: 65.04589
Epoch: 974, train loss: 16.01009, test loss: 67.74707
Epoch: 979, train loss: 15.65117, test loss: 67.04165
Epoch: 984, train loss: 15.69020, test loss: 64.82090
Epoch: 989, train loss: 15.64482, test loss: 64.48461
Epoch: 994, train loss: 15.63572, test loss: 66.11368
Epoch: 999, train loss: 15.68736, test loss: 66.60487
End of 999, train data mae 2.001739263534546,  rmse 3.9609386920928955, mape 653619934265344.0
End of 999, train data mae 2.001739263534546, rmse 3.9609386920928955, mape 653619934265344.0
End of 999, test data mae 3.648482322692871, rmse 8.16118049621582, mape 685392089055232.0
save model into file: mylstm20240125.pth
Hi, Train
